鄉鎮市區碼,醫院家數,病床總計,一般病床小計,特殊病床小計,精神病床小計,急性病床小計,慢性病床小計,急性一般病床,精神急性一般病床,慢性一般病床,精神慢性一般病床,慢性結核病床,漢生病病床,國際醫療病床,加護病床,燒傷病床,燒傷加護病床,嬰兒病床,急診觀察床,其他觀察病床,安寧病床,慢性呼吸照護病床,亞急性呼吸照護病床,精神科加護病床,普通隔離病床,正壓隔離病床,負壓隔離病床,骨髓移植病床,性侵害犯罪加害人強制治療病床,急性後期照護病床,整合醫學急診後送病床,戒護病床,司法精神病床,手術恢復床,嬰兒床,血液透析床,腹膜透析床
501,4,435,289,146,100,189,100,189,0,0,100,0,0,0,14,0,0,0,11,0,0,67,0,0,0,0,0,0,0,0,0,0,0,4,0,50,0
504,1,383,298,85,0,298,0,298,0,0,0,0,0,0,22,0,0,5,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,12,30,0
505,1,341,228,113,0,228,0,228,0,0,0,0,0,0,21,0,0,0,20,0,0,16,0,0,0,0,2,0,0,8,0,0,0,4,0,42,0
506,2,284,264,20,200,47,217,47,0,17,200,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0
507,1,24,20,4,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,1,895,670,225,0,670,0,670,0,0,0,0,0,0,67,0,0,8,24,6,22,0,20,0,0,0,1,0,0,0,0,0,0,12,7,58,0
527,2,600,534,66,482,216,318,52,164,0,318,0,0,0,0,0,0,0,2,0,0,0,0,13,0,0,51,0,0,0,0,0,0,0,0,0,0
529,1,45,20,25,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
531,5,2076,1487,589,198,1195,292,1117,78,172,120,0,0,0,129,0,8,32,84,18,23,90,16,0,0,0,2,2,0,0,0,0,0,25,50,110,0
532,3,1008,675,333,24,675,0,651,24,0,0,0,0,0,72,0,0,13,35,2,15,52,12,0,6,0,2,0,0,0,0,0,0,15,27,82,0
534,7,1322,871,451,146,798,73,722,76,3,70,0,0,0,56,0,0,13,18,10,9,123,0,0,0,0,24,0,0,0,0,0,0,13,46,138,1
535,5,1465,1022,443,30,1016,6,986,30,6,0,0,0,0,126,4,10,23,75,8,20,14,12,2,32,6,15,2,0,0,0,0,0,22,20,52,0
537,1,1007,767,240,268,539,228,499,40,0,228,0,0,0,62,0,0,3,21,36,10,0,0,0,0,2,2,0,0,0,0,0,0,13,16,75,0
701,8,517,300,217,0,300,0,300,0,0,0,0,0,0,20,0,0,0,13,0,0,99,0,0,0,0,0,0,0,0,0,0,0,9,12,64,0
702,6,517,372,145,128,292,80,214,78,30,50,0,0,0,15,0,0,0,25,3,6,16,0,0,0,0,0,0,0,0,0,0,0,7,0,73,0
703,3,514,365,149,140,265,100,225,40,0,100,0,0,0,23,0,0,0,10,0,4,33,0,0,0,0,5,0,0,0,0,0,0,3,5,65,1
704,1,23,20,3,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705,2,272,193,79,0,193,0,193,0,0,0,0,0,0,14,0,0,0,8,0,0,25,0,0,1,0,0,0,0,0,0,0,0,2,0,29,0
706,3,368,341,27,299,112,229,42,70,0,229,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0
710,1,2634,1904,730,153,1487,417,1388,99,363,54,0,0,0,202,14,0,40,100,0,10,0,20,0,5,7,40,0,0,0,48,0,0,22,30,192,0
711,1,47,29,18,0,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
712,3,1959,1530,429,230,1380,150,1300,80,0,150,0,0,0,105,0,4,26,71,2,8,25,10,0,0,3,25,0,0,0,0,0,0,33,10,105,2
715,2,46,40,6,0,40,0,40,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
729,4,504,322,182,0,322,0,322,0,0,0,0,0,0,29,0,0,4,20,4,0,40,0,0,0,0,6,0,0,0,0,0,0,12,22,45,0
730,8,2440,1665,775,138,1615,50,1527,88,0,50,0,0,0,134,8,12,30,70,16,20,30,20,0,47,0,50,2,0,0,41,18,0,53,112,112,0
731,6,510,376,134,0,325,51,325,0,51,0,0,0,0,13,0,0,0,4,7,0,19,0,0,3,0,5,0,0,0,0,0,0,9,32,42,0
732,9,2371,1573,798,41,1573,0,1532,41,0,0,0,0,0,142,8,5,36,80,14,20,79,12,0,8,0,15,4,0,0,0,0,0,31,127,217,0
733,7,240,188,52,39,188,0,149,39,0,0,0,0,0,0,0,0,0,0,3,0,30,0,0,0,0,0,0,0,0,0,0,0,5,0,14,0
734,6,806,583,220,0,583,0,583,0,0,0,0,0,3,45,0,0,12,40,4,0,12,0,0,0,0,10,0,0,0,0,0,0,15,25,57,0
735,8,2856,2146,710,686,1882,264,1363,519,97,167,0,0,0,169,0,0,17,68,6,18,71,24,58,0,0,23,0,0,0,0,0,50,28,34,143,1
736,3,128,77,51,0,77,0,77,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,0,0
737,1,48,20,28,0,20,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,0
738,3,651,427,224,0,427,0,427,0,0,0,0,0,0,20,0,0,10,40,4,5,37,0,0,0,0,10,0,0,0,0,0,0,20,20,58,0
1101,2,232,216,16,200,66,150,16,50,0,150,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1103,1,130,48,82,0,48,0,48,0,0,0,0,0,0,6,0,0,0,6,0,0,54,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0
1104,1,192,127,65,0,100,27,100,0,27,0,0,0,0,8,0,0,0,4,0,0,30,0,0,0,0,0,0,0,0,0,0,0,3,0,20,0
1106,3,1330,1054,276,262,857,197,792,65,0,197,0,0,0,63,2,0,7,30,3,6,0,10,0,0,3,20,2,0,0,0,0,0,6,10,114,0
1107,2,470,316,154,32,316,0,284,32,0,0,0,0,0,30,0,0,5,12,1,6,39,0,0,0,0,10,0,0,0,0,3,0,5,5,37,1
1201,4,1148,756,392,0,756,0,756,0,0,0,0,0,0,72,0,0,42,91,8,0,0,0,0,5,0,5,0,0,0,0,0,0,25,50,94,0
1204,5,1270,928,342,103,878,50,775,103,50,0,0,0,0,57,0,4,15,42,0,6,63,12,0,0,0,9,0,0,0,0,0,0,9,35,90,0
2201,4,1984,1370,614,33,1270,100,1237,33,100,0,0,0,0,140,8,0,32,63,11,21,40,4,0,0,5,15,1,0,0,0,0,0,26,45,203,0
2202,8,1538,1057,481,300,669,388,594,75,163,225,0,0,0,63,0,0,0,15,1,10,260,0,0,1,0,7,0,0,0,0,0,0,6,0,116,2
3101,7,1967,1077,890,50,1077,0,1027,50,0,0,0,0,0,119,12,0,24,67,85,16,189,52,0,25,0,11,4,0,0,40,0,0,24,25,197,0
3102,4,770,475,295,0,475,0,475,0,0,0,0,0,0,43,0,0,0,25,8,0,80,0,0,0,0,14,0,0,0,0,0,0,10,2,110,3
3103,2,359,250,109,0,250,0,250,0,0,0,0,0,0,21,0,0,8,10,3,0,20,0,0,0,0,2,0,0,0,0,0,0,5,10,30,0
3104,4,1353,931,422,57,931,0,874,57,0,0,0,0,0,85,0,0,12,46,9,10,56,7,0,0,0,5,1,0,0,0,0,0,27,28,136,0
3105,7,2670,1954,716,284,1649,305,1470,179,200,105,0,0,0,149,0,0,22,70,14,20,154,24,0,4,0,11,2,0,0,0,0,0,25,38,183,0
3106,9,1638,1188,450,252,798,390,728,70,40,182,0,168,0,73,0,0,5,31,2,9,168,0,0,0,0,9,0,0,11,0,0,0,10,5,126,1
3107,1,189,132,57,0,132,0,132,0,0,0,0,0,0,6,0,0,0,8,2,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0
3108,1,63,63,0,63,0,63,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3109,3,603,399,204,0,362,37,362,0,37,0,0,0,0,30,0,0,11,33,14,4,0,0,0,0,0,2,0,0,0,0,0,0,12,25,73,0
3110,3,1640,1415,225,719,792,623,696,96,0,623,0,0,0,61,0,0,18,22,13,25,0,8,0,5,0,12,8,0,0,0,0,0,11,10,32,0
3111,1,642,458,184,25,458,0,433,25,0,0,0,0,0,46,0,0,12,31,6,13,0,0,0,1,0,4,0,0,0,0,0,0,10,16,45,0
3112,1,40,20,20,0,20,0,20,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0
3113,5,1137,734,403,80,684,50,654,30,0,50,0,0,0,58,4,0,10,43,3,12,141,0,0,10,0,10,0,0,0,0,0,0,7,25,80,0
3116,1,682,499,183,0,499,0,499,0,0,0,0,0,0,57,0,0,12,23,0,5,0,0,0,0,0,12,0,0,0,0,0,0,21,10,43,0
3121,1,87,85,2,85,0,85,0,0,0,85,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3123,1,503,500,3,500,150,350,0,150,0,350,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3127,1,86,48,38,0,48,0,48,0,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,2
3201,9,3526,2512,1014,760,2131,381,1715,416,37,344,0,0,0,158,0,2,42,80,55,37,0,8,59,11,0,25,0,0,0,45,23,0,45,103,321,0
3202,10,983,558,425,0,558,0,558,0,0,0,0,0,0,37,0,0,15,22,30,0,81,0,0,0,0,1,0,0,0,0,0,0,18,40,178,3
3204,2,526,381,145,0,290,91,290,0,91,0,0,0,0,25,0,0,0,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,68,0
3206,2,453,450,3,429,81,369,21,60,0,369,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3207,3,4204,3081,1123,125,2725,356,2700,25,256,100,0,0,0,305,9,17,54,162,0,12,0,24,0,0,38,127,5,0,0,0,0,0,60,40,266,4
3209,2,800,538,262,175,438,100,363,75,0,100,0,0,0,44,0,0,15,20,10,0,30,15,0,8,0,8,0,0,0,0,0,0,8,30,74,0
3210,5,936,574,362,0,574,0,574,0,0,0,0,0,0,46,0,0,5,19,18,0,44,10,0,0,0,0,0,0,0,0,0,0,10,63,147,0
3211,1,265,157,108,0,157,0,157,0,0,0,0,0,0,6,0,0,0,6,0,0,29,0,0,0,0,17,0,0,0,0,0,0,3,0,45,2
3301,1,240,240,0,240,60,180,0,60,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3303,3,517,399,118,210,249,150,189,60,0,150,0,0,0,10,0,0,0,12,0,12,24,0,0,1,0,2,0,0,0,0,0,0,5,2,49,1
3305,5,2017,1445,572,150,1345,100,1295,50,0,100,0,0,0,103,0,0,37,61,0,0,86,0,0,8,0,18,0,0,0,0,0,0,33,60,163,3
3306,1,399,276,123,170,136,140,106,30,0,140,0,0,0,11,0,0,3,9,0,0,30,0,0,4,0,0,0,0,0,0,0,0,2,15,49,0
3401,2,655,447,208,0,447,0,447,0,0,0,0,0,0,41,0,0,10,24,5,12,17,10,0,0,0,6,0,0,0,0,0,0,11,15,57,0
3402,2,1461,1023,438,0,1023,0,1023,0,0,0,0,0,0,91,2,0,28,43,9,27,0,20,0,0,0,17,0,0,0,0,0,0,14,30,157,0
3403,1,291,224,67,140,98,126,58,40,26,100,0,0,0,9,0,0,0,5,0,10,30,0,0,0,0,0,0,0,0,0,0,0,1,1,11,0
3405,1,40,20,20,0,20,0,20,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0
3406,1,99,99,0,99,40,59,0,40,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3407,2,805,717,88,487,210,507,130,80,100,407,0,0,0,10,0,0,0,4,8,0,46,0,0,0,0,0,0,0,0,0,0,0,3,2,15,0
3501,6,1509,1141,368,412,876,265,729,147,0,265,0,0,0,79,4,0,10,40,5,4,65,0,0,0,0,5,0,0,0,0,0,0,12,27,117,0
3502,1,236,183,53,0,183,0,183,0,0,0,0,0,0,15,0,0,2,6,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,7,18,0
3503,1,57,30,27,0,30,0,30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0
3504,2,80,67,13,0,67,0,67,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0
3505,3,1047,787,260,387,499,288,400,99,0,288,0,0,0,37,0,0,5,20,6,12,15,8,0,4,0,4,0,0,0,0,0,0,4,12,133,0
3508,1,37,20,17,0,20,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
3513,1,10,10,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3701,8,2889,1943,946,36,1789,154,1753,36,154,0,0,0,0,268,16,0,60,110,10,28,29,55,0,1,1,29,4,0,0,0,0,0,49,62,223,1
3702,2,1557,1349,208,690,809,540,599,210,60,480,0,0,0,56,0,0,10,18,0,0,0,0,0,0,3,2,0,0,0,0,0,0,7,22,90,0
3703,1,89,49,40,0,49,0,49,0,0,0,0,0,0,0,0,0,0,2,0,0,22,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0
3704,2,61,40,21,0,40,0,40,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,1
3705,8,1537,1099,438,300,859,240,799,60,0,240,0,0,0,66,0,0,28,57,0,0,83,0,0,0,0,1,0,0,0,0,0,0,23,27,153,0
3706,1,30,26,4,0,26,0,26,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3707,2,59,41,18,0,41,0,41,0,0,0,0,0,0,0,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3708,3,304,213,91,0,213,0,213,0,0,0,0,0,0,18,0,0,4,13,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,5,45,0
3710,1,39,39,0,0,39,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3715,1,62,62,0,0,19,43,19,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3717,1,600,475,125,200,325,150,275,50,0,150,0,0,0,16,0,0,0,5,0,6,20,10,0,0,0,0,0,0,0,0,0,0,3,5,60,0
3801,2,583,395,188,44,395,0,351,44,0,0,0,0,0,47,0,0,3,12,0,5,35,0,0,0,0,2,0,0,0,0,0,0,4,6,74,0
3802,2,716,511,205,73,437,74,414,23,24,50,0,0,0,26,0,0,8,20,0,17,38,0,0,3,0,5,0,0,0,0,0,0,6,5,77,0
3803,4,1399,1224,175,993,424,800,231,193,0,800,0,0,0,23,0,0,10,16,10,0,0,0,18,0,0,0,0,0,0,0,0,0,3,15,80,0
3804,2,422,265,157,0,265,0,265,0,0,0,0,0,0,33,0,0,0,20,0,0,35,0,0,14,0,0,0,0,0,0,0,0,5,5,45,0
3901,6,1667,1249,418,462,929,320,787,142,0,320,0,0,0,74,2,2,13,51,0,8,45,6,0,25,0,9,0,0,0,0,0,0,19,7,157,0
3902,1,74,21,53,0,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,1,0,30,0
3903,1,378,232,146,0,232,0,232,0,0,0,0,0,0,20,0,0,8,10,0,0,40,0,0,15,0,2,0,0,0,0,0,0,6,15,30,0
3904,2,352,220,132,0,220,0,220,0,0,0,0,0,0,24,0,0,0,12,0,0,30,0,0,0,0,4,0,0,0,0,0,0,6,3,53,0
3905,1,41,20,21,0,20,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3906,4,658,456,202,0,456,0,456,0,0,0,0,0,0,40,0,0,3,11,0,0,58,12,0,0,0,2,0,0,0,0,0,0,6,10,60,0
3913,1,157,116,41,0,116,0,116,0,0,0,0,0,0,6,2,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,2,15,1
4001,2,1615,1214,401,144,1115,99,1070,45,0,99,0,0,0,106,2,4,10,34,4,10,20,16,0,0,9,31,2,0,0,0,0,0,15,10,128,0
4003,1,931,690,241,90,650,40,600,50,0,40,0,0,0,59,0,3,9,15,0,15,30,10,0,0,2,12,0,0,0,0,0,0,11,15,60,0
4014,1,468,410,58,330,92,318,40,52,40,278,0,0,0,8,0,0,0,2,0,0,36,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0
4301,10,2591,1740,851,132,1639,101,1579,60,29,72,0,0,0,163,0,0,30,81,23,40,116,10,0,0,0,18,0,0,9,0,0,0,32,68,259,2
4302,2,159,114,45,0,114,0,114,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,30,0
4303,2,1091,775,316,20,760,15,740,20,15,0,0,0,0,70,0,2,7,23,2,0,16,10,0,0,0,6,0,0,0,0,0,0,5,34,139,2
4304,3,192,97,95,0,97,0,97,0,0,0,0,0,0,17,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,58,0
4306,1,333,333,0,333,60,273,0,60,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4311,1,22,20,2,0,20,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4313,2,528,449,79,320,209,240,99,110,30,210,0,0,0,10,0,0,0,8,0,0,32,0,0,0,0,6,0,0,0,0,0,0,2,0,21,0
4315,1,153,149,4,149,104,45,0,104,0,45,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4316,1,214,160,54,0,160,0,160,0,0,0,0,0,0,12,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,0
4401,3,481,353,128,116,273,80,237,36,0,80,0,0,0,23,4,0,6,23,0,2,0,0,0,0,0,6,0,0,0,0,0,0,7,10,47,0
4501,3,1783,1194,589,85,1021,173,936,85,173,0,0,0,0,122,0,4,24,50,6,29,30,20,0,21,6,23,4,0,0,70,0,0,20,25,135,0
4502,1,155,130,25,90,40,90,40,0,0,90,0,0,0,4,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0
4503,3,1617,1531,86,1354,335,1196,177,158,0,1196,0,0,0,11,0,0,0,9,0,6,0,0,0,6,0,0,0,0,0,0,0,0,2,6,46,0
4504,1,374,304,70,125,252,52,177,75,0,50,2,0,0,10,2,0,2,8,0,0,24,0,0,0,0,0,0,0,0,0,0,0,2,2,20,0
4506,1,222,200,22,200,40,160,0,40,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
4508,1,23,20,3,0,20,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4601,5,1169,852,317,243,686,166,609,77,0,166,0,0,0,63,2,0,13,21,0,14,60,5,0,0,0,17,0,0,0,0,0,0,13,19,90,0
4602,1,29,12,17,0,12,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
4603,1,64,27,37,0,27,0,27,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,1
9003,1,304,209,95,96,139,70,113,26,0,70,0,0,0,10,0,0,5,14,0,2,0,0,0,7,0,4,0,0,0,0,0,0,3,20,30,0
9101,1,43,26,17,0,26,0,26,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,4,0
