鄉鎮市區碼,醫院家數,病床總計,一般病床小計,特殊病床小計,精神病床小計,急性病床小計,慢性病床小計,急性一般病床,精神急性一般病床,慢性一般病床,精神慢性一般病床,慢性結核病床,漢生病病床,國際醫療病床,加護病床,燒傷病床,燒傷加護病床,嬰兒病床,急診觀察床,其他觀察病床,安寧病床,慢性呼吸照護病床,亞急性呼吸照護病床,急性結核病床,精神科加護病床,普通隔離病床,正壓隔離病床,負壓隔離病床,骨髓移植病床,性侵害犯罪加害人強制治療病床,手術恢復床,嬰兒床,血液透析床,腹膜透析床
101,6,1410,928,482,189,789,139,739,50,0,139,0,0,0,61,0,0,33,65,0,0,84,0,0,0,0,0,12,0,0,15,70,142,0
102,5,1444,1064,380,0,1064,0,1064,0,0,0,0,0,0,62,0,4,23,63,3,0,37,0,0,0,0,0,2,0,0,19,52,115,0
109,2,3446,2605,841,540,2472,133,2065,407,0,133,0,0,0,165,0,0,35,119,12,20,186,46,0,12,0,0,15,0,0,27,51,153,0
110,4,1347,854,493,0,834,20,834,0,20,0,0,0,0,97,0,8,60,39,0,0,106,10,0,0,8,9,2,0,0,12,71,71,0
111,3,2121,1566,555,118,1566,0,1448,118,0,0,0,0,0,118,8,3,46,49,2,15,72,24,0,0,0,1,18,2,0,40,51,106,0
112,1,35,30,5,0,30,0,30,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1,919,586,333,25,586,0,561,25,0,0,0,0,0,74,4,0,25,61,0,0,0,0,0,0,0,0,0,0,0,15,49,105,0
116,5,5038,4066,972,663,3758,308,3312,446,91,217,0,0,0,325,10,6,41,97,6,36,54,28,0,0,90,37,24,11,0,52,39,116,0
117,2,841,545,296,25,545,0,520,25,0,0,0,0,0,59,0,0,17,21,0,20,72,15,0,0,0,0,4,0,0,13,15,60,0
118,3,2692,1910,782,68,1910,0,1842,68,0,0,0,0,0,260,10,4,48,122,0,17,0,15,0,0,97,0,51,14,0,54,20,70,0
119,5,523,317,206,0,238,79,238,0,79,0,0,0,0,14,0,0,0,10,2,0,30,0,0,0,0,0,0,0,0,4,16,130,0
120,2,844,580,264,38,580,0,542,38,0,0,0,0,0,46,4,0,10,29,6,10,60,10,0,0,0,0,12,0,0,8,15,54,0
301,11,1151,750,401,26,705,45,679,26,45,0,0,0,0,49,4,0,10,31,2,0,122,15,0,0,0,0,0,0,0,10,45,113,0
302,2,193,126,67,0,96,30,96,0,30,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,55,0
303,2,308,233,75,0,233,0,233,0,0,0,0,0,0,35,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,3,5,22,1
304,2,450,450,0,450,80,370,0,80,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,1,1164,857,307,50,795,62,745,50,62,0,0,0,0,87,0,0,16,34,0,10,40,10,0,0,0,0,0,0,0,12,20,78,0
306,3,1480,1032,448,180,832,200,752,80,100,100,0,0,0,90,10,0,20,31,10,0,140,20,0,0,0,0,0,0,0,6,20,101,0
309,1,1036,856,180,50,496,360,446,50,360,0,0,0,0,52,0,0,5,22,4,18,0,10,0,0,0,0,1,0,0,10,6,52,0
310,2,260,157,103,0,157,0,157,0,0,0,0,0,0,12,0,0,0,7,0,0,58,0,0,0,0,0,0,0,0,3,0,23,0
312,1,248,248,0,248,40,208,0,40,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,1,99,44,55,0,44,0,44,0,0,0,0,0,0,0,0,0,0,1,0,0,40,0,0,0,0,0,0,0,0,1,0,13,0
318,3,194,99,95,0,99,0,99,0,0,0,0,0,0,0,0,0,0,8,0,0,55,0,0,0,0,0,0,0,0,2,0,30,0
