鄉鎮市區碼,醫院家數,病床總計,一般病床小計,特殊病床小計,精神病床小計,急性病床小計,慢性病床小計,急性一般病床,精神急性一般病床,慢性一般病床,精神慢性一般病床,慢性結核病床,漢生病病床,國際醫療病床,加護病床,燒傷病床,燒傷加護病床,嬰兒病床,急診觀察床,其他觀察病床,安寧病床,慢性呼吸照護病床,亞急性呼吸照護病床,精神科加護病床,普通隔離病床,正壓隔離病床,負壓隔離病床,骨髓移植病床,性侵害犯罪加害人強制治療病床,急性後期照護病床,整合醫學急診後送病床,戒護病床,手術恢復床,嬰兒床,血液透析床,腹膜透析床
318,2,545,399,146,0,399,0,399,0,0,0,0,0,0,40,0,0,6,10,0,0,30,0,0,0,0,0,0,0,0,0,0,6,9,45,0
319,4,1131,940,191,276,790,150,664,126,0,150,0,0,0,65,0,0,3,35,0,0,0,0,0,0,0,5,0,0,0,0,0,10,3,70,0
320,4,853,647,206,0,647,0,647,0,0,0,0,0,0,40,0,0,10,19,4,0,0,10,0,0,0,2,0,0,0,0,0,12,9,100,0
322,3,505,331,174,0,331,0,331,0,0,0,0,0,0,34,0,0,9,10,8,0,63,0,0,0,0,1,0,0,0,0,0,5,15,29,0
323,3,259,114,145,0,114,0,114,0,0,0,0,0,0,0,0,0,16,0,0,0,20,0,0,0,0,0,0,0,0,0,0,2,38,69,0
324,3,1002,828,174,440,478,350,388,90,0,350,0,0,0,26,0,4,7,6,4,10,30,10,0,0,0,20,0,0,0,0,0,6,15,36,0
325,4,1508,1116,392,218,977,139,898,79,0,139,0,0,0,113,0,4,30,36,11,20,20,23,0,0,2,11,2,0,0,0,0,23,25,72,0
326,7,2756,1932,824,295,1722,210,1637,85,0,210,0,0,0,195,0,10,58,64,0,18,56,59,0,0,0,0,2,0,0,100,0,35,50,177,0
327,3,2433,1610,823,70,1610,0,1540,70,0,0,0,0,0,208,0,8,40,100,20,22,40,22,0,0,19,23,0,0,0,125,0,50,41,105,0
328,4,765,510,255,0,510,0,510,0,0,0,0,0,0,35,0,0,17,18,2,4,60,10,0,0,2,1,0,0,0,0,0,8,33,65,0
329,4,179,127,52,0,127,0,127,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,16,15,0
501,4,440,284,156,100,184,100,184,0,0,100,0,0,0,9,0,0,0,14,0,0,79,0,0,0,0,0,0,0,0,0,0,3,0,50,1
504,1,383,298,85,0,298,0,298,0,0,0,0,0,0,22,0,0,5,10,0,0,0,0,0,0,0,2,0,0,0,0,0,4,12,30,0
505,2,405,248,157,0,248,0,248,0,0,0,0,0,0,21,0,0,0,20,4,0,36,0,0,0,0,2,0,0,0,0,0,4,0,70,0
506,2,277,264,13,200,47,217,47,0,17,200,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
507,1,24,20,4,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,1,876,642,234,0,642,0,642,0,0,0,0,0,0,67,0,0,8,24,6,22,0,20,0,1,5,4,0,0,0,0,0,12,7,58,0
527,2,600,534,66,482,216,318,52,164,0,318,0,0,0,0,0,0,0,2,0,0,0,0,13,0,0,51,0,0,0,0,0,0,0,0,0
529,1,45,20,25,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
531,5,2054,1469,585,198,1177,292,1099,78,172,120,0,0,0,119,0,8,32,84,18,28,90,16,0,3,1,3,2,0,0,0,0,21,50,110,0
532,3,1008,675,333,24,675,0,651,24,0,0,0,0,0,72,0,0,13,35,2,15,52,12,0,6,0,2,0,0,0,0,0,15,27,82,0
534,7,1369,898,471,120,818,80,768,50,10,70,0,0,0,59,0,0,15,18,10,12,123,12,0,0,0,24,0,0,0,0,0,11,46,140,1
535,5,1468,1022,446,30,1016,6,986,30,6,0,0,0,0,126,4,10,23,75,10,20,20,12,2,22,6,20,2,0,0,0,0,22,20,52,0
537,1,987,767,220,268,539,228,499,40,0,228,0,0,0,62,0,0,3,21,36,10,0,0,0,0,2,2,0,0,0,0,0,8,16,60,0
701,7,506,280,226,0,280,0,280,0,0,0,0,0,0,20,0,0,0,16,0,0,99,0,0,0,0,0,0,0,0,0,0,9,22,60,0
702,6,597,446,151,128,366,80,288,78,30,50,0,0,0,15,0,0,0,25,3,6,16,0,0,0,0,0,0,0,0,0,0,7,6,73,0
703,4,550,385,165,140,285,100,245,40,0,100,0,0,0,21,0,0,0,10,0,4,36,0,0,0,0,5,0,0,0,0,0,4,5,80,0
704,1,23,20,3,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705,2,293,213,80,0,213,0,213,0,0,0,0,0,0,15,0,0,0,8,0,0,25,0,0,1,0,0,0,0,0,0,0,2,0,29,0
706,3,371,344,27,299,115,229,45,70,0,229,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0
710,1,2680,1950,730,199,1487,463,1388,99,363,100,0,0,0,202,14,0,40,100,0,10,0,20,0,5,7,40,0,0,0,48,0,22,30,192,0
711,1,59,36,23,0,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
712,3,1961,1530,431,230,1380,150,1300,80,0,150,0,0,0,105,0,4,26,70,12,8,25,10,0,0,0,25,0,0,0,0,0,33,10,103,0
715,2,46,40,6,0,40,0,40,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
729,3,493,302,191,0,302,0,302,0,0,0,0,0,0,33,0,0,4,20,4,0,40,0,0,0,0,6,0,0,0,0,0,12,27,45,0
730,8,2428,1663,765,138,1613,50,1525,88,0,50,0,0,0,134,8,12,30,70,5,20,27,20,0,47,0,50,2,0,0,41,18,61,116,104,0
731,6,511,381,130,0,330,51,330,0,51,0,0,0,0,13,0,0,0,4,3,0,19,0,0,3,0,5,0,0,0,0,0,9,32,42,0
732,10,2427,1603,824,41,1603,0,1562,41,0,0,0,0,0,147,8,5,36,80,14,20,79,12,0,8,0,15,4,0,0,0,0,31,133,232,0
733,7,243,188,55,39,188,0,149,39,0,0,0,0,0,0,0,0,0,0,3,0,30,0,0,0,0,0,0,0,0,0,0,6,0,16,0
734,6,706,543,160,0,543,0,543,0,0,0,0,0,3,22,0,0,2,30,0,0,12,0,0,0,0,0,0,0,0,0,0,12,25,57,0
735,8,3006,2338,668,769,2007,331,1488,519,81,250,0,0,0,161,0,0,19,68,6,18,79,28,58,0,0,24,0,0,0,0,0,28,39,140,0
736,3,128,77,51,0,77,0,77,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2,38,0,0
737,1,45,20,25,0,20,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0
738,3,623,425,198,0,425,0,425,0,0,0,0,0,0,20,0,0,10,30,4,5,37,0,0,0,0,4,0,0,0,0,0,10,20,58,0
1101,2,232,216,16,200,66,150,16,50,0,150,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1103,1,130,48,82,0,48,0,48,0,0,0,0,0,0,6,0,0,0,6,0,0,54,0,0,0,0,0,0,0,0,0,0,1,0,15,0
1104,1,192,127,65,0,100,27,100,0,27,0,0,0,0,8,0,0,0,4,0,0,30,0,0,0,0,0,0,0,0,0,0,3,0,20,0
1106,3,1343,1054,289,262,857,197,792,65,0,197,0,0,0,63,2,0,9,30,3,12,0,10,0,0,5,20,0,0,0,0,0,6,15,114,0
1107,2,478,327,151,32,327,0,295,32,0,0,0,0,0,30,0,0,5,12,1,6,39,0,0,0,0,10,0,0,0,0,0,5,5,37,1
1201,3,1112,759,353,0,759,0,759,0,0,0,0,0,0,72,0,0,41,73,0,0,0,6,0,3,0,3,0,0,0,0,0,21,45,89,0
1204,5,1278,928,350,103,878,50,775,103,50,0,0,0,0,57,0,4,15,42,0,6,71,12,0,0,0,9,0,0,0,0,0,9,35,90,0
2201,4,1994,1370,624,33,1270,100,1237,33,100,0,0,0,0,140,8,0,32,63,11,21,40,14,0,0,5,15,1,0,0,0,0,26,45,203,0
2202,8,1525,1043,482,300,655,388,580,75,163,225,0,0,0,63,0,0,0,15,1,10,260,0,0,1,0,7,0,0,0,0,0,7,0,116,2
3101,7,1983,1072,911,50,1072,0,1022,50,0,0,0,0,0,119,12,0,24,67,85,16,189,52,0,38,0,11,4,0,0,40,0,24,25,205,0
3102,4,763,394,369,0,394,0,394,0,0,0,0,0,0,47,2,0,0,20,4,0,125,0,0,1,0,17,0,0,0,0,0,10,3,138,2
3103,2,359,250,109,0,250,0,250,0,0,0,0,0,0,21,0,0,8,10,3,0,20,0,0,0,0,2,0,0,0,0,0,5,10,30,0
3104,5,1393,983,410,85,983,0,898,85,0,0,0,0,0,86,0,0,12,35,10,10,84,8,0,0,0,5,1,0,0,0,0,27,28,104,0
3105,7,2689,1954,735,284,1649,305,1470,179,200,105,0,0,0,149,0,0,22,70,14,20,182,24,0,4,0,8,2,0,0,0,0,25,38,177,0
3106,8,1554,1113,441,252,723,390,653,70,40,182,0,168,0,62,0,0,5,31,6,9,160,6,0,0,0,9,0,0,11,0,0,10,5,126,1
3107,1,189,132,57,0,132,0,132,0,0,0,0,0,0,6,0,0,0,8,2,0,20,0,0,0,0,0,0,0,0,0,0,1,0,20,0
3108,1,63,63,0,63,0,63,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3109,3,603,399,204,0,362,37,362,0,37,0,0,0,0,36,0,0,11,33,14,4,0,0,0,0,0,2,0,0,0,0,0,12,25,67,0
3110,4,1684,1428,256,719,805,623,709,96,0,623,0,0,0,62,0,0,18,22,13,29,0,13,0,5,0,12,8,0,0,0,0,11,10,53,0
3111,1,642,459,183,25,459,0,434,25,0,0,0,0,0,46,0,0,12,31,6,13,0,0,0,0,0,4,0,0,0,0,0,10,16,45,0
3112,1,40,20,20,0,20,0,20,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0
3113,5,1149,734,415,80,684,50,654,30,0,50,0,0,0,58,4,0,10,43,3,12,168,0,0,10,0,9,0,0,0,0,0,8,25,65,0
3114,1,36,19,17,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3116,1,677,499,178,0,499,0,499,0,0,0,0,0,0,57,0,0,12,23,0,0,0,0,0,0,0,12,0,0,0,0,0,21,10,43,0
3121,1,87,85,2,85,0,85,0,0,0,85,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3123,1,503,500,3,500,150,350,0,150,0,350,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3127,1,82,48,34,0,48,0,48,0,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,24,0
3201,8,3513,2538,975,818,2089,449,1683,406,37,412,0,0,0,160,0,2,42,80,48,37,0,18,35,11,0,25,0,0,0,45,23,41,78,330,0
3202,11,1087,613,474,0,613,0,613,0,0,0,0,0,0,45,0,0,17,22,30,0,88,0,0,0,0,1,0,0,0,0,0,14,40,215,2
3204,2,553,381,172,0,290,91,290,0,91,0,0,0,0,25,0,0,0,20,9,0,30,0,0,0,0,0,0,0,0,0,0,6,14,68,0
3206,2,453,450,3,429,81,369,21,60,0,369,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3207,3,4198,3081,1117,125,2725,356,2700,25,256,100,0,0,0,299,9,17,54,162,0,12,0,24,0,0,38,127,5,0,0,0,0,60,40,266,4
3209,2,806,556,250,175,456,100,381,75,0,100,0,0,0,52,0,0,15,20,10,0,18,15,0,0,0,8,0,0,0,0,0,8,30,74,0
3210,5,939,574,365,0,574,0,574,0,0,0,0,0,0,54,0,0,5,28,11,0,44,10,0,0,0,0,0,0,0,0,0,10,63,140,0
3211,1,263,157,106,0,157,0,157,0,0,0,0,0,0,6,0,0,0,6,0,0,29,0,0,0,0,17,0,0,0,0,0,3,0,45,0
3301,1,240,240,0,240,60,180,0,60,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3303,3,509,387,122,210,237,150,177,60,0,150,0,0,0,10,0,0,0,12,0,12,30,0,0,1,0,2,0,0,0,0,0,4,2,49,0
3305,5,1900,1387,513,150,1287,100,1237,50,0,100,0,0,0,96,0,0,32,49,0,0,86,0,0,0,0,18,0,0,0,0,0,22,52,155,3
3306,1,390,276,114,170,136,140,106,30,0,140,0,0,0,11,0,0,3,10,0,0,30,0,0,4,0,0,0,0,0,0,0,2,15,39,0
3401,2,658,454,204,0,454,0,454,0,0,0,0,0,0,41,0,0,10,24,5,12,17,10,0,0,0,6,0,0,0,0,0,11,15,53,0
3402,2,1570,1133,437,0,1133,0,1133,0,0,0,0,0,0,90,2,0,28,43,9,27,0,20,0,16,0,17,0,0,0,0,0,14,30,141,0
3403,1,291,224,67,140,98,126,58,40,26,100,0,0,0,9,0,0,0,5,0,10,30,0,0,0,0,0,0,0,0,0,0,1,1,11,0
3405,1,40,20,20,0,20,0,20,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0
3406,1,99,99,0,99,40,59,0,40,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3407,2,805,717,88,487,210,507,130,80,100,407,0,0,0,10,0,0,0,4,8,0,46,0,0,0,0,0,0,0,0,0,0,3,2,15,0
3501,6,1539,1149,390,412,884,265,737,147,0,265,0,0,0,71,4,0,10,40,5,4,95,0,0,0,0,5,0,0,0,0,0,12,27,117,0
3502,1,236,183,53,0,183,0,183,0,0,0,0,0,0,15,0,0,2,6,0,0,0,0,0,2,0,1,0,0,0,0,0,2,7,18,0
3503,1,57,30,27,0,30,0,30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0
3504,2,94,80,14,0,80,0,80,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0
3505,3,1040,787,253,387,499,288,400,99,0,288,0,0,0,37,0,0,5,20,6,12,23,8,0,4,0,4,0,0,0,0,0,4,12,118,0
3508,1,51,20,31,0,20,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,15,0
3701,9,3002,2105,897,178,1839,266,1773,66,154,112,0,0,0,246,16,0,60,110,10,20,29,55,0,1,1,30,4,0,0,0,0,47,62,206,0
3702,2,1557,1349,208,690,809,540,599,210,60,480,0,0,0,56,0,0,10,18,0,0,0,0,0,0,3,2,0,0,0,0,0,7,22,90,0
3703,1,89,49,40,0,49,0,49,0,0,0,0,0,0,0,0,0,0,2,0,0,22,0,0,0,0,0,0,0,0,0,0,1,0,15,0
3704,2,60,40,20,0,40,0,40,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,0
3705,8,1521,1033,488,300,793,240,733,60,0,240,0,0,0,66,0,0,28,63,0,0,78,0,0,0,0,1,0,0,50,0,0,22,27,153,0
3706,1,30,26,4,0,26,0,26,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3707,2,59,41,18,0,41,0,41,0,0,0,0,0,0,0,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3708,3,333,221,112,0,221,0,221,0,0,0,0,0,0,12,0,0,4,13,2,0,28,0,0,0,0,0,0,0,0,0,0,3,5,45,0
3710,1,39,39,0,0,39,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3715,1,62,62,0,0,19,43,19,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3717,1,707,574,133,200,424,150,374,50,0,150,0,0,0,24,0,0,0,5,0,6,20,10,0,0,0,0,0,0,0,0,0,3,5,60,0
3801,2,592,426,166,44,426,0,382,44,0,0,0,0,0,40,0,0,2,12,0,5,35,0,0,0,0,2,0,0,0,0,0,4,6,60,0
3802,2,716,511,205,73,437,74,414,23,24,50,0,0,0,26,0,0,8,20,0,17,38,0,0,5,0,3,0,0,0,0,0,6,5,77,0
3803,4,1399,1224,175,993,424,800,231,193,0,800,0,0,0,23,0,0,10,16,10,0,0,0,18,0,0,0,0,0,0,0,0,3,15,80,0
3804,2,383,264,119,0,264,0,264,0,0,0,0,0,0,25,0,0,0,20,0,0,6,0,0,13,0,0,0,0,0,0,0,5,5,45,0
3901,6,1660,1246,414,462,926,320,784,142,0,320,0,0,0,74,2,2,13,51,0,8,45,0,0,25,0,9,0,0,0,0,0,20,8,157,0
3902,1,74,21,53,0,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,1,0,30,0
3903,1,378,232,146,0,232,0,232,0,0,0,0,0,0,20,0,0,8,10,0,0,40,0,0,15,0,2,0,0,0,0,0,6,15,30,0
3904,2,352,220,132,0,220,0,220,0,0,0,0,0,0,24,0,0,0,12,0,0,30,0,0,0,0,4,0,0,0,0,0,6,3,53,0
3905,1,41,20,21,0,20,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3906,4,658,456,202,0,456,0,456,0,0,0,0,0,0,40,0,0,3,11,0,0,58,12,0,0,0,2,0,0,0,0,0,6,10,60,0
3913,1,156,116,40,0,116,0,116,0,0,0,0,0,0,6,2,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,2,2,15,0
4001,2,1631,1214,417,144,1115,99,1070,45,0,99,0,0,0,106,2,4,10,34,4,12,20,16,0,0,9,45,2,0,0,0,0,15,10,128,0
4003,1,931,690,241,90,650,40,600,50,0,40,0,0,0,59,0,3,9,15,0,15,30,10,0,0,2,12,0,0,0,0,0,11,15,60,0
4014,1,468,410,58,330,92,318,40,52,40,278,0,0,0,8,0,0,0,2,0,0,36,0,0,8,0,4,0,0,0,0,0,0,0,0,0
4301,9,2262,1510,752,132,1409,101,1349,60,29,72,0,0,0,132,0,0,21,61,23,35,116,10,0,0,0,18,0,0,9,0,0,23,66,236,2
4302,2,159,114,45,0,114,0,114,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,30,0
4303,2,1090,775,315,20,760,15,740,20,15,0,0,0,0,70,0,2,7,23,2,0,16,10,0,0,0,5,0,0,0,0,0,5,34,139,2
4304,3,192,104,88,0,104,0,104,0,0,0,0,0,0,19,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,47,0
4306,1,333,333,0,333,60,273,0,60,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4311,1,22,20,2,0,20,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4313,2,577,494,83,320,254,240,144,110,30,210,0,0,0,14,0,0,0,8,0,0,32,0,0,0,0,6,0,0,0,0,0,2,0,21,0
4315,1,153,149,4,149,104,45,0,104,0,45,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
4316,1,214,160,54,0,160,0,160,0,0,0,0,0,0,12,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,0
4401,3,501,353,148,116,273,80,237,36,0,80,0,0,0,23,4,0,6,23,0,2,0,0,0,24,0,6,0,0,0,0,0,7,10,43,0
4501,3,1742,1194,548,85,1021,173,936,85,173,0,0,0,0,112,0,4,24,50,6,29,30,20,0,21,6,30,4,0,0,35,0,20,25,132,0
4502,1,173,144,29,96,54,90,48,6,0,90,0,0,0,4,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,8,0
4503,3,1605,1531,74,1354,335,1196,177,158,0,1196,0,0,0,14,0,0,0,9,0,6,0,0,0,6,0,0,0,0,0,0,0,2,6,31,0
4504,1,369,304,65,125,252,52,177,75,0,50,2,0,0,10,2,0,2,8,0,0,24,0,0,0,0,0,0,0,0,0,0,2,2,15,0
4506,1,222,200,22,200,40,160,0,40,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
4508,1,23,20,3,0,20,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4601,5,1169,852,317,243,686,166,609,77,0,166,0,0,0,63,2,0,13,21,0,14,60,5,0,0,0,17,0,0,0,0,0,13,19,90,0
4602,1,37,20,17,0,20,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
4603,1,62,26,36,0,26,0,26,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0
9003,1,304,209,95,96,139,70,113,26,0,70,0,0,0,10,0,0,5,14,0,2,0,0,0,7,0,4,0,0,0,0,0,3,20,30,0
9101,1,43,26,17,0,26,0,26,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,4,0
